TMTID(GPP),FSN,CHANGEDATE
1062870,"alogliptin 25 mg + pioglitazone 15 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20190216
1323925,"alogliptin 25 mg + pioglitazone 30 mg film-coated tablet, 14 tablet, 1 blister (GPP)",20250215
1323941,"alogliptin 25 mg + pioglitazone 30 mg film-coated tablet, 2 blister, 1 box (GPP)",20250215
1062938,"alogliptin 25 mg + pioglitazone 30 mg film-coated tablet, 28 tablet (4 x 7 tablet blister), 1 box (GPP)",20190216
1062917,"alogliptin 25 mg + pioglitazone 30 mg film-coated tablet, 7 tablet, 1 blister (GPP)",20190216
1062257,"alogliptin 25 mg film-coated tablet, 14 tablet, 1 blister (GPP)",20190216
1062274,"alogliptin 25 mg film-coated tablet, 2 blister, 1 box (GPP)",20250201
1177834,"alpelisib 150 mg film-coated tablet, 14 tablet, 1 blister (GPP)",20210211
1177852,"alpelisib 150 mg film-coated tablet, 28 tablet (2 x 14 tablet blister), 1 box (GPP)",20210211
1177913,"alpelisib 200 mg film-coated tablet [7 tablet] (&) alpelisib 50 mg film-coated tablet [7 tablet], 14 tablet, 1 blister (GPP)",20210211
1177921,"alpelisib 200 mg film-coated tablet [7 tablet] (&) alpelisib 50 mg film-coated tablet [7 tablet], 28 tablet (2 x 14 tablet blister), 1 box (GPP)",20210215
1177810,"alpelisib 200 mg film-coated tablet, 14 tablet (1 x 14 tablet blister), 1 box (GPP)",20210211
1177796,"alpelisib 200 mg film-coated tablet, 14 tablet, 1 blister (GPP)",20210211
1113927,"alpha tocopherol acetate 15 mg + ascorbic acid 70 mg + calcium pantothenate 10 mg + cyanocobalamin 5 mcg + ergocalciferol 400 iu + folic acid 100 mcg + nicotinamide 20 mg + pyridoxine hydrochloride 2 mg + retinol 4000 iu + riboflavin 2 mg + thiamine 2 mg tablet, 1000 tablet, 1 bottle (GPP)",20190516
1089305,"alprazolam 1 mg tablet, 10 tablet, 1 blister (GPP)",20190216
1236605,"alprazolam 1 mg tablet, 10 tablet, 1 strip (GPP)",20220602
1089426,"alprazolam 1 mg tablet, 100 tablet (10 x 10 tablet blister), 1 box (GPP)",20190216
1236622,"alprazolam 1 mg tablet, 100 tablet (10 x 10 tablet strip), 1 box (GPP)",20220602
1089322,"alprazolam 1 mg tablet, 500 tablet (50 x 10 tablet blister), 1 box (GPP)",20190216
