TMTID(GP),FSN,CHANGEDATE
875093,allergen extract carelessweed 1 w/20 v solution for injection (GP),20141214
875161,allergen extract cat pelt 10000 BAU/1 mL solution for injection (GP),20141214
934990,allergen extract cockroach 10 mg/1 mL solution for injection (GP),20150503
912469,allergen extract d.farinac 10000 AU/1 mL solution for injection (GP),20150314
912532,allergen extract d.pteronyssinus 10000 AU/1 mL solution for injection (GP),20150314
935152,allergen extract fire ant 1 mg/1 mL solution for injection (GP),20150503
875375,allergen extract fire ant 1 w/20 v solution for injection (GP),20141214
935134,allergen extract fire ant 10 mcg/1 mL solution for injection (GP),20150503
935110,allergen extract fire ant 10 mg/1 mL solution for injection (GP),20150503
935175,allergen extract fire ant 100 mcg/1 mL solution for injection (GP),20150503
935199,allergen extract fire ant 20 mg/1 mL solution for injection (GP),20150503
875231,allergen extract honey bee 100 mcg/1 mL concentrate for solution for injection (GP),20141214
935286,allergen extract honey bee 100 mcg/1 mL solution for injection (GP),20150503
875029,allergen extract johnson grass 1 w/10 v solution for injection (GP),20141214
874883,allergen extract mixed cockroach 1 w/20 v solution for injection (GP),20141214
874812,allergen extract mixed mite 10000 AU/1 mL solution for injection (GP),20141214
935390,allergen extract mixed mite 2000 AU/1 mL solution for injection (GP),20150503
875306,allergen extract mixed vespid 300 mcg/1 mL solution for injection (GP),20141214
874746,allergen extract standardized mite 10000 AU/1 mL solution for injection (GP),20141214
943192,allergen mixed vespid 300 mcg/1 mL solution for injection (GP),20150515
943233,allergen yellow hornet 100 mcg/1 mL solution for injection (GP),20150515
989940,allopurinol 10 mg/1 mL oral suspension (GP),20160703
234997,allopurinol 100 mg + benzbromarone 20 mg film-coated tablet (GP),20130805
235268,allopurinol 100 mg film-coated tablet (GP),20130805
234085,allopurinol 100 mg tablet (GP),20130805
235309,allopurinol 300 mg film-coated tablet (GP),20130805
235089,allopurinol 300 mg tablet (GP),20130805
683698,almitrine 50 mg tablet (GP),20140104
645326,almitrine dimesilate 30 mg + raubasine 10 mg film-coated tablet (GP),20131005
943365,almond oil 40 mL/100 g cream (GP),20150515
842740,aloe 2 g/100 mL + benzoin 10 g/100 mL + storax 7.5 g/100 mL + tolu balsam 2.5 g/100 mL cutaneous solution (GP),20140901
780795,aloe vera 87.4 g/100 g gel (GP),20180302
958567,alogliptin 25 mg + pioglitazone 15 mg film-coated tablet (GP),20150910
958607,alogliptin 25 mg + pioglitazone 30 mg film-coated tablet (GP),20150910
1000313,alogliptin 25 mg film-coated tablet (GP),20161215
1176050,alpelisib 150 mg film-coated tablet (GP),20210211
1176009,alpelisib 200 mg film-coated tablet (GP),20210211
1177875,alpelisib 50 mg film-coated tablet (GP),20210211
859441,alpha tocopherol acetate 15 mg + ascorbic acid 70 mg + calcium pantothenate 10 mg + cyanocobalamin 5 mcg + ergocalciferol 400 iu + folic acid 100 mcg + nicotinamide 20 mg + pyridoxine hydrochloride 2 mg + retinol 4000 iu + riboflavin 2 mg + thiamine 2 mg coated tablet (GP),20141019
1113887,alpha tocopherol acetate 15 mg + ascorbic acid 70 mg + calcium pantothenate 10 mg + cyanocobalamin 5 mcg + ergocalciferol 400 iu + folic acid 100 mcg + nicotinamide 20 mg + pyridoxine hydrochloride 2 mg + retinol 4000 iu + riboflavin 2 mg + thiamine 2 mg tablet (GP),20190516
913276,alpha tocopherol acetate 3 mg + methyltestosterone 5 mg coated tablet (GP),20150314
415278,alprazolam 1 mg film-coated tablet (GP),20130805
478465,alprazolam 1 mg prolonged-release tablet (GP),20130805
233197,alprazolam 1 mg tablet (GP),20130805
478514,alprazolam 2 mg prolonged-release tablet (GP),20130805
415311,alprazolam 250 mcg film-coated tablet (GP),20130805
233099,alprazolam 250 mcg tablet (GP),20130805
415353,alprazolam 500 mcg film-coated tablet (GP),20130805
478551,alprazolam 500 mcg prolonged-release tablet (GP),20130805
233145,alprazolam 500 mcg tablet (GP),20130805
799595,alprostadil 500 mcg/1 mL concentrate for solution for infusion (GP),20140519
1281771,alteplase 2 mg powder for solution for injection (GP),20230902
901675,alteplase 2 mg/2 mL solution for injection (GP),20150228
654719,alteplase 50 mg powder and solvent for solution for injection/infusion (GP),20131102
210411,"altretamine 50 mg capsule, hard (GP)",20150703
970929,aluminium acetate 1 mL/40 mL cutaneous solution (GP),20160117
934082,aluminium acetate 10 mL/100 mL cutaneous solution (GP),20150503
937305,aluminium acetate 4.8 g/100 mL cutaneous solution (GP),20150503
928691,aluminium acetate 54.5 mL/100 mL cutaneous solution (GP),20150407
891233,aluminium chloride 15 g/1 L cutaneous solution (GP),20150202
918835,aluminium chloride 15 g/100 mL cutaneous liquid (GP),20150404
946483,aluminium chloride 20 g/100 mL cutaneous solution (GP),20150601
992273,aluminium chloride 3 g/100 mL cutaneous solution (GP),20160731
992294,aluminium chloride 6.25 g/100 mL cutaneous solution (GP),20160731
949350,aluminium chloride 6.5 g/100 mL cutaneous solution (GP),20150614
880964,aluminium chloride hexahydrate 25 g/100 mL + hydroxyquinoline sulfate 100 mg/100 mL gingival solution (GP),20171202
835406,aluminium chloride hexahydrate 250 mg/1 mL solution for injection (GP),20140803
893627,aluminium hydroxide 1.25 g/5 mL oral suspension (GP),20181103
882143,aluminium hydroxide 100 mg + magnesium trisilicate 300 mg tablet (GP),20150119
817269,aluminium hydroxide 102 mg/5 mL + magnesium hydroxide 66.67 mg/5 mL + simeticone 10 mg/5 mL oral suspension (GP),20181103
823165,aluminium hydroxide 112.2 mg/5 mL + magnesium hydroxide 80 mg/5 mL + simeticone 166.67 mg/5 mL oral suspension (GP),20181103
757122,aluminium hydroxide 120 mg + magnesium trisilicate 250 mg + peppermint oil 3 mcL tablet (GP),20140407
780101,aluminium hydroxide 120 mg + magnesium trisilicate 250 mg tablet (GP),20140420
1033614,aluminium hydroxide 13.45 mg/5 mL + magnesium hydroxide 1.2 mg/5 mL oral suspension (GP),20181103
1033651,aluminium hydroxide 13.45 mg/5 mL oral suspension (GP),20180616
758780,aluminium hydroxide 153 mg/5 mL + magnesium hydroxide 100 mg/5 mL + simeticone 7 mg/5 mL oral suspension (GP),20140407
828709,aluminium hydroxide 172.33 mg/5 mL + magnesium hydroxide 600 mg/15 mL + simeticone 25 mg/5 mL oral suspension (GP),20181103
758854,aluminium hydroxide 191.25 mg + kaolin 60 mg + magnesium trisilicate 360 mg tablet (GP),20140407
865996,aluminium hydroxide 2.15 g/5 mL oral suspension (GP),20181103
829336,aluminium hydroxide 200 mg + magnesium hydroxide 200 mg + simeticone 30 mg chewable tablet (GP),20140721
842614,aluminium hydroxide 200 mg + magnesium hydroxide 50 mg + magnesium trisilicate 250 mg tablet (GP),20140901
771418,aluminium hydroxide 200 mg/15 mL + diphenhydramine hydrochloride 12.5 mg/15 mL + lidocaine 100 mg/15 mL oral solution (GP),20140407
962269,aluminium hydroxide 200 mg/5 mL + magnesium hydroxide 100 mg/5 mL + simeticone 7 mg/5 mL oral suspension (GP),20181103
907531,aluminium hydroxide 200 mg/5 mL + magnesium hydroxide 125 mg/5 mL + simeticone 20 mg/5 mL oral suspension (GP),20181103
743550,aluminium hydroxide 200 mg/5 mL + magnesium hydroxide 125 mg/5 mL oral suspension (GP),20140304
908544,aluminium hydroxide 200 mg/5 mL + magnesium hydroxide 200 mg/5 mL oral suspension (GP),20150228
884709,aluminium hydroxide 200 mg/5 mL oral suspension (GP),20181103
908931,aluminium hydroxide 204 mg/5 mL + magnesium hydroxide 133.33 mg/5 mL + simeticone 13.33 mg/5 mL oral suspension (GP),20181103
811247,aluminium hydroxide 220 mg + magnesium hydroxide 120 mg chewable tablet (GP),20140616
1255764,aluminium hydroxide 220 mg/5 mL + magnesium hydroxide 120 mg/5 mL + simeticone 16.67 mg/5 mL oral suspension (GP),20230217
824805,aluminium hydroxide 220 mg/5 mL + magnesium hydroxide 120 mg/5 mL + simeticone 20 mg/5 mL oral suspension (GP),20181103
729517,aluminium hydroxide 220 mg/5 mL + magnesium hydroxide 120 mg/5 mL + simeticone 7.25 mg/5 mL oral suspension (GP),20181103
740498,aluminium hydroxide 220 mg/5 mL + magnesium hydroxide 120 mg/5 mL oral suspension (GP),20140304
954217,aluminium hydroxide 225 mg/5 mL + magnesium hydroxide 200 mg/5 mL + simeticone 25 mg/5 mL oral suspension (GP),20181103
