TMTID(SUBS),FSN,CHANGEDATE
749423,cefepime hydrochloride (SUBS),20140324
275360,cefixime (SUBS),20130805
659310,cefminox (SUBS),20131102
544672,cefoperazone (SUBS),20131005
545637,cefotaxime (SUBS),20131005
547009,cefoxitin (SUBS),20131005
720296,cefpirome (SUBS),20140118
1028955,ceftaroline fosamil (SUBS),20180518
547239,ceftazidime (SUBS),20131005
655762,ceftibuten (SUBS),20131102
1020365,ceftolozane (SUBS),20171202
548350,ceftriaxone (SUBS),20131005
249548,cefuroxime (SUBS),20130805
223618,celecoxib (SUBS),20130627
996011,ceritinib (SUBS),20161106
794781,cetalkonium chloride (SUBS),20140519
861451,cetirizine hydrochloride (SUBS),20141102
953104,cetomacrogol (SUBS),20150703
899556,cetostearyl alcohol (SUBS),20150218
491988,cetrimide (SUBS),20130830
842153,cetrimonium (SUBS),20180202
803343,cetrorelix (SUBS),20140602
223625,cetuximab (SUBS),20130627
894236,cetyl alcohol (SUBS),20150202
644133,cetylpyridinium chloride (SUBS),20131005
1172386,chadox1-s recombinant (azd1222) (SUBS),20210126
699515,chamazulene (SUBS),20140118
1044029,chamomile (SUBS),20181129
699536,chamomile extract (SUBS),20140118
767746,chamomile flower tincture (SUBS),20140407
272610,charcoal (SUBS),20130805
707814,chloral hydrate (SUBS),20140118
223639,chlorambucil (SUBS),20130627
237620,chloramphenicol (SUBS),20130805
260707,chlordiazepoxide (SUBS),20130805
771155,chlorhexidine (SUBS),20140407
780516,chlorhexidine acetate (SUBS),20140420
793890,chlorhexidine dihydrochloride (SUBS),20140519
492379,chlorhexidine gluconate (SUBS),20130830
905174,chloride (SUBS),20150228
679481,chlormadinone (SUBS),20140104
848110,chlorobutanol (SUBS),20140914
961048,chloroform (SUBS),20151005
239597,chloroquine (SUBS),20190103
694582,chloroquine phosphate (SUBS),20140118
771619,chloroxylenol (SUBS),20140407
858076,chlorphenamine maleate (SUBS),20141019
800552,chlorphenoxamine hydrochloride (SUBS),20140519
236799,chlorpromazine hydrochloride (SUBS),20161203
262341,chlorpropamide (SUBS),20130805
454283,chlortalidone (SUBS),20161003
493699,chlortetracycline (SUBS),20130830
855917,cholecalciferol (SUBS),20141019
847042,choline (SUBS),20140914
1131304,choline bitartrate (SUBS),20191115
794809,choline salicylate (SUBS),20140519
223660,chondroitin sulfate (SUBS),20181216
745775,chondroitin sulfate sodium (SUBS),20140304
