TMTID(GPU),FSN,CHANGEDATE
1303430,"agalsidase alfa 3.5 mg/3.5 mL concentrate for solution for infusion, 3.5 mL vial (GPU)",20240802
719244,"agalsidase beta 35 mg powder for concentrate for solution for infusion, 1 vial (GPU)",20170329
719292,"agalsidase beta 5 mg powder for concentrate for solution for infusion, 1 vial (GPU)",20170329
470043,"agomelatine 25 mg film-coated tablet, 1 tablet (GPU)",20130805
854447,"alanine 600 mg/200 mL + arginine 600 mg/200 mL + aspartic acid 50 mg/200 mL + glutamic acid 50 mg/200 mL + histidine 500 mg/200 mL + isoleucine 1.5 g/200 mL + leucine 2 g/200 mL + lysine acetate 1.4 g/200 mL + methionine 1 g/200 mL + phenylalanine 1 g/200 mL + proline 400 mg/200 mL + serine 200 mg/200 mL + threonine 500 mg/200 mL + tryptophan 500 mg/200 mL + valine 1.5 g/200 mL solution for infusion, 200 mL bag (GPU)",20141004
582079,"albendazole 100 mg/5 mL oral suspension, 20 mL bottle (GPU)",20131005
729016,"albendazole 100 mg/5 mL oral suspension, 60 mL bottle (GPU)",20140118
231123,"albendazole 200 mg capsule, hard, 1 capsule (GPU)",20130805
227353,"albendazole 200 mg film-coated tablet, 1 tablet (GPU)",20130805
231168,"albendazole 200 mg tablet, 1 tablet (GPU)",20130805
582120,"albendazole 200 mg/5 mL oral suspension, 10 mL bottle (GPU)",20131005
582584,"albendazole 200 mg/5 mL syrup, 10 mL bottle (GPU)",20131005
227400,"albendazole 400 mg film-coated tablet, 1 tablet (GPU)",20130805
236768,"albendazole 400 mg tablet, 1 tablet (GPU)",20130805
1021247,"albendazole 400 mg/10 mL oral suspension, 10 mL sachet (GPU)",20171213
775175,"albumin 30 mg/100 mL + phenol 400 mg/100 mL solution for injection, 100 mL vial (GPU)",20140407
775147,"albumin 30 mg/100 mL + phenol 400 mg/100 mL solution for injection, 18 mL vial (GPU)",20140407
864419,"alcaftadine 250 mg/100 mL eye drops, solution, 3 mL bottle (GPU)",20141123
762507,"alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution, 15 mL bottle (GPU)",20200119
966353,"alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution, 30 mL bottle (GPU)",20200119
