SUBSID,VTMID
526843,526917
1233086,1233103
692683,692704
263693,851055
506023,916759
858076,967465
748323,812034
886563,886585
723688,723707
225891,744661
249771,1120306
279415,279443
734283,734323
514044,995960
223866,1134671
769585,769603
757237,855993
488838,995960
730149,807972
689632,886795
962351,962379
301691,975868
224362,345720
958648,958669
1275211,1275248
721297,799915
225901,851231
225407,924953
223331,220586
754720,754749
737507,958166
669114,980992
530326,813502
255279,278009
262665,348185
838496,838514
531665,802642
1261069,1261665
236813,236832
490759,964516
501709,1040022
877218,877256
742529,989154
223768,1205853
758896,799342
758896,819250
748064,964117
668247,669893
224362,370636
799110,799147
710788,936273
519482,975670
794878,794953
225891,797652
519550,519578
520688,956566
520688,1269531
387279,387298
520753,974306
382410,569503
225891,832715
669048,980992
224287,221518
730521,730566
743858,743901
665824,967372
748427,614066
223527,777211
268317,268338
982283,982334
833981,834008
1170331,1170377
799110,863270
757200,886795
643001,1139145
748064,297389
1031837,1031859
254473,966041
644216,964516
373192,373214
737012,737031
737904,737927
488244,971066
748778,1018600
435415,605753
614481,967454
223907,891331
361884,361907
769252,769275
316330,573460
955410,955452
239521,239545
807681,261403
997003,1125816
894270,923294
692547,692568
223543,767002
742529,873264
1279703,1279726
531244,531263
809632,566565
1279477,1279496
533578,851587
224698,221980
659869,659882
242500,242528
1036721,1193963
765046,1294469
858076,860549
662042,662061
733373,733394
560907,846133
521712,895114
560884,1004962
1137106,1137123
732189,732209
533578,533634
224944,222181
748040,251228
969916,1024069
335039,335056
776097,1140860
748212,763171
748064,361660
956363,956385
650779,650798
225469,951670
677243,677262
225901,760118
225955,226109
891543,891562
521712,1031291
798909,798932
1026531,1026565
567426,1125816
224826,222065
233774,285716
921465,923614
854786,1280944
755814,755833
490737,866246
510153,964516
1281970,1281991
720600,720628
524479,524498
933518,933556
692547,1151553
665824,967393
724597,724634
765344,765469
225917,781658
748212,967454
560884,673597
266469,967522
521712,857574
847090,764772
341176,992202
1036721,1036745
490759,986365
322132,322150
223308,461714
519623,1242374
748040,614066
685952,685975
255706,255723
953104,953189
225469,988039
398459,968347
742529,755996
822572,779353
744559,869203
293049,1160435
704726,798593
225901,812034
1234510,1237749
864627,1161853
264049,657977
225566,222759
724067,724080
1002817,1002838
811537,955097
225891,770866
530326,988526
1106479,1130316
1234497,1234534
225261,222480
805018,805041
834152,834175
1136776,1275248
693561,693588
531228,304054
769846,777529
1248961,1248988
643671,643692
225274,222498
689632,830223
339479,657977
225469,932178
1124453,1124476
237030,237053
491988,492000
695992,696014
488244,503591
223527,726677
854786,1321576
748427,961285
269192,487588
771155,934167
1016492,1016519
743652,1106240
997144,997163
438690,438711
748352,855993
224928,222168
531228,811563
757318,851231
263820,263849
236969,516354
223527,984461
748064,247424
265032,1221236
379592,995496
748427,1272056
1158574,1183284
595593,610063
560907,669599
832151,832179
446687,446706
834293,834319
653847,653868
1002024,1002048
246093,246616
351337,351359
687453,781658
1043762,1043791
317215,788068
934432,1024076
756673,992857
776097,844411
894270,982212
1106479,1130545
224861,222106
877370,877391
224729,934122
752685,743901
809390,854963
223884,943144
883466,883484
317215,1000776
1260217,1260238
811537,267161
659381,659404
675472,1308249
385109,621452
1303804,1303843
809595,327643
494129,939382
338379,338398
679971,776362
643462,643489
899436,899458
522957,958483
854740,1002677
504256,798593
1012435,1012461
531387,929342
680677,682544
560907,673940
323212,675656
1106479,1106498
748323,865795
515931,515954
757339,792822
223515,887293
263693,957807
502390,992410
223527,220749
689632,770866
225901,877520
346690,346711
771954,771977
223924,221142
225901,622780
1144776,1144795
224729,1272056
501709,643093
648337,648359
531665,531683
224327,949418
807652,958215
531409,949418
880316,880337
265032,958291
696815,230667
225407,1040022
1158574,1182957
748212,967364
490737,859234
298908,561642
519482,804233
519482,988039
729643,729689
748064,304498
255589,339498
685535,685557
863372,863412
1177670,1177720
330758,330770
293049,357097
293049,657977
317215,774903
707949,934271
854646,1002677
225891,803900
733030,839813
661120,661149
225901,679294
1034602,1034625
608947,782180
560884,1119409
688037,730566
387706,958317
1024568,1024581
854667,1280944
338615,797652
668559,1025873
326772,326793
742529,789365
1130739,1130756
675723,676127
519482,814523
225870,223061
272226,272242
1305279,1305298
321058,321070
879581,707769
225407,980596
748064,606591
531409,802730
223687,220909
379592,522903
573908,1043791
757237,775678
854605,1279145
842842,842890
665824,435436
757339,772291
521712,975662
228990,251228
742852,742875
506023,902504
