id,conceptId,isFSN,term
2588016,900006,False,mucin-secreting carcinoma
833016013,90002005,True,pistol-shot sound
833017016,90003000,True,"magnetic resonance imaging unit, device"
149199018,90003000,False,magnetic resonance imaging unit
833019018,90005007,True,structure of inferior macular artery
149202011,90005007,False,inferior macular artery
833020012,90006008,True,high fat meat exchange list
1205254015,90008009,True,nucleolonema of nucleolus
149207017,90008009,False,pars granulosa of nucleolus
833023014,90009001,True,abnormal umbilical cord
4042954010,9001000175100,True,name of medication injected
833025019,90010006,True,ligation of blood vessel
833026018,9001003,True,chondroblastoma
15864016,9001003,False,Codman's tumor
195191010,9001003,False,Codman's tumour
1235524013,9001003,False,chondroblastoma morphology
15863010,9001003,False,chondromatous giant cell tumor
508791012,9001003,False,chondromatous giant cell tumour
2967565013,90011000119105,True,organic sleep related movement disorder
2913685018,90011005,True,cytidine diphosphate glycerol pyrophosphatase
149212016,90011005,False,CDPglycerol pyrophosphatase
2621314014,90011005,False,cytidine diphosphate (CDP) glycerol pyrophosphatase
833028017,90012003,True,extensor hallucis longus muscle structure
149213014,90012003,False,extensor hallucis longus muscle
833030015,90014002,True,oyster
833031016,90015001,True,entire crest of head of second rib
3522320012,90017009,True,product containing estrone
3714721014,90017009,False,estrone-containing product
3721794013,90018004,True,6-phospho-beta-glucosidase
833035013,90019007,True,(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase
833037017,90020001,True,structure of tympanostapedial syndesmosis
149222010,90020001,False,tympanostapedial syndesmosis
833038010,9002005,True,manual testing of muscle function
833039019,90021002,True,esophagoduodenostomy
1218559016,90021002,False,anastomosis of esophagus to duodenum
1217071016,90021002,False,anastomosis of oesophagus to duodenum
149228014,90021002,False,esophagoduodenal anastomosis
149230011,90021002,False,oesophagoduodenal anastomosis
149229018,90021002,False,oesophagoduodenostomy
833042013,90024005,True,structure of internal iliac artery
1495509016,90024005,False,hypogastric artery
149234019,90024005,False,internal hypogastric artery
149233013,90024005,False,internal iliac artery
3649677014,90025006,True,zirconium-95
3649678016,90025006,False,95-Zr
833044014,90026007,True,ajacine
833045010,90027003,True,Arabs
833046011,90028008,True,urethral route
1235525014,90028008,False,urethral use
833047019,90029000,True,tyrosine carboxypeptidase
149241013,90029000,False,thyroid peptidase
149240014,90029000,False,thyroid peptide carboxypeptidase
833049016,9003000,True,left parietal lobe structure
15867011,9003000,False,left parietal lobe
833050016,90030005,True,grosbeak
833051017,90031009,True,head of eighth rib structure
